Province	Riding name	Winner name	Highest votes PR	Highest votes non-PR	Voters to convince
AB	Edmonton--St. Albert	Brent Rathgeber	34468	5796	-28672
QC	Gatineau	Françoise Boivin	35262	8619	-26643
NB	Acadie--Bathurst	Yvon Godin	32067	7456	-24611
QC	Hull--Aylmer	Nycole Turmel	35194	12051	-23143
NL	St. John's East	Jack Harris	31388	9198	-22190
ON	Toronto--Danforth	Jack Layton	29235	8472	-20763
ON	Trinity--Spadina	Olivia Chow	35601	15276	-20325
ON	Ottawa Centre	Paul Dewar	33805	14063	-19742
BC	Vancouver East	Libby Davies	27794	8361	-19433
BC	Victoria	Denise Savoie	30679	14275	-16404
QC	Trois-Rivières	Robert Aubin	26981	11987	-14994
QC	Shefford	Réjean Genest	27575	12615	-14960
QC	Montcalm	Manon Perreault	34434	19609	-14825
QC	Laval--Les Îles	François Pilon	25703	11108	-14595
QC	Rivière-du-Nord	Pierre Dionne Labelle	29603	15105	-14498
QC	Saint-Hyacinthe--Bagot	Marie-Claude Morin	26963	12651	-14312
QC	Châteauguay--Saint-Constant	Sylvain Chicoine	29156	14957	-14199
QC	Drummond	François Choquette	24489	10410	-14079
QC	Marc-Aurèle-Fortin	Alain Giguère	29107	15470	-13637
QC	Longueuil--Pierre-Boucher	Pierre Nantel	27119	14181	-12938
QC	Repentigny	Jean-François Larose	32131	19242	-12889
ON	Hamilton Centre	David Christopherson	23849	11020	-12829
QC	Outremont	Thomas Mulcair	21906	9204	-12702
QC	Bas-Richelieu--Nicolet--Bécancour	Louis Plamondon	19046	6478	-12568
QC	Vaudreuil-Soulanges	Jamie Nicholls	30177	17781	-12396
ON	Nickel Belt	Claude Gravelle	24566	12503	-12063
NS	Halifax	Megan Leslie	23746	11793	-11953
QC	Compton--Stanstead	Jean Rousseau	24097	13179	-10918
QC	Brome--Missisquoi	Pierre Jacob	22407	11589	-10818
QC	Rivière-des-Mille-Îles	Laurin Liu	25639	14873	-10766
QC	Jeanne-Le Ber	Tyrone Benskin	23293	12635	-10658
QC	Saint-Laurent--Cartierville	Stéphane Dion	17726	7124	-10602
QC	Terrebonne--Blainville	Charmaine Borg	28260	17663	-10597
QC	Alfred-Pellan	Rosane Doré Lefebvre	23098	12504	-10594
QC	Laval	José Nunez-Melo	22050	11567	-10483
QC	Beauport--Limoilou	Raymond Côté	24306	13845	-10461
QC	Chambly--Borduas	Matthew Dubé	29591	19147	-10444
BC	Vancouver Kingsway	Don Davies	23452	13157	-10295
ON	Davenport	Andrew Cash	21096	10946	-10150
NS	Sackville--Eastern Shore	Peter Stoffer	22483	12662	-9821
ON	Sudbury	Glenn Thibeault	22684	12881	-9803
QC	Rosemont--La Petite-Patrie	Alexandre Boulerice	27484	17702	-9782
QC	Abitibi--Témiscamingue	Christine Moore	24763	15258	-9505
ON	Windsor West	Brian Masse	21592	12577	-9015
QC	Saint-Bruno--Saint-Hubert	Djaouida Sellah	24361	15384	-8977
QC	Argenteuil--Papineau--Mirabel	Mylène Freeman	25802	16880	-8922
QC	Saint-Jean	Tarik Brahmi	24943	16023	-8920
QC	Louis-Hébert	Denis Blanchette	23373	14640	-8733
QC	Brossard--La Prairie	Hoang Mai	25512	16976	-8536
QC	Joliette	Francine Raynault	27050	18804	-8246
ON	Thunder Bay--Rainy River	John Rafferty	18085	10097	-7988
QC	Pontiac	Mathieu Ravignat	22376	14441	-7935
QC	Charlesbourg--Haute-Saint-Charles	Anne-Marie Day	24131	16220	-7911
QC	Hochelaga	Marjolaine Boutin-Sweet	22314	14451	-7863
QC	Portneuf--Jacques-Cartier	Élaine Michaud	22387	14594	-7793
ON	Algoma--Manitoulin--Kapuskasing	Carol Hughes	18747	10991	-7756
QC	Québec	Annick Papillon	22393	14684	-7709
ON	Hamilton Mountain	Chris Charlton	25595	17936	-7659
QC	La Pointe-de-l'Île	Ève Péclet	23033	15475	-7558
NL	St. John's South--Mount Pearl	Ryan Cleary	18681	11130	-7551
ON	Thunder Bay--Superior North	Bruce Hyer	18334	10894	-7440
ON	London--Fanshawe	Irene Mathyssen	21689	14294	-7395
QC	Saint-Lambert	Sadia Groguhé	18705	11353	-7352
BC	Saanich--Gulf Islands	Elizabeth May	31890	24544	-7346
BC	Skeena--Bulkley Valley	Nathan Paul Cullen	19431	12117	-7314
ON	Windsor--Tecumseh	Joe Comartin	22235	14945	-7290
ON	Parkdale--High Park	Peggy Nash	24046	16757	-7289
QC	Laurentides--Labelle	Marc-André Morin	24800	17799	-7001
QC	Abitibi--Baie-James--Nunavik--Eeyou	Romeo Saganash	13961	7089	-6872
BC	Nanaimo--Cowichan	Jean Crowder	31272	24497	-6775
MB	Winnipeg Centre	Pat Martin	13928	7173	-6755
QC	LaSalle--Émard	Hélène LeBlanc	17691	11172	-6519
AB	Edmonton--Strathcona	Linda Duncan	26093	19762	-6331
ON	Ottawa South	David McGuinty	25963	19634	-6329
ON	Timmins--James Bay	Charlie Angus	16738	10526	-6212
BC	Burnaby--New Westminster	Peter Julian	22193	16009	-6184
QC	Manicouagan	Jonathan Genest-Jourdain	16437	10495	-5942
BC	British Columbia Southern Interior	Alex Atamanenko	25206	19273	-5933
ON	Ottawa--Vanier	Mauril Bélanger	20009	14184	-5825
QC	Beauharnois--Salaberry	Anne Minh-Thu Quach	23998	18182	-5816
QC	Berthier--Maskinongé	Ruth Ellen Brosseau	22403	16668	-5735
NS	Cape Breton--Canso	Rodger Cuzner	16478	10873	-5605
QC	Laurier--Sainte-Marie	Hélène Laverdière	23373	17991	-5382
ON	Beaches--East York	Matthew Kellway	20265	14967	-5298
QC	Rimouski-Neigette--Témiscouata--Les Basques	Guy Caron	18360	13170	-5190
MB	Churchill	Niki Ashton	10262	5256	-5006
ON	Scarborough--Rouge River	Rathika Sitsabaiesan	18935	13935	-5000
QC	Chicoutimi--Le Fjord	Dany Morin	19430	14675	-4755
QC	Saint-Maurice--Champlain	Lise St-Denis	18628	13961	-4667
ON	St. Paul's	Carolyn Bennett	22409	17864	-4545
ON	Hamilton East--Stoney Creek	Wayne Marston	21931	17567	-4364
QC	Jonquière--Alma	Claude Patry	22900	18569	-4331
QC	Verchères--Les Patriotes	Sana Hassainia	24514	20593	-3921
QC	Sherbrooke	Pierre-Luc Dusseault	22415	18665	-3750
QC	Notre-Dame-de-Grâce--Lachine	Isabelle Morin	17943	14407	-3536
ON	Etobicoke North	Kirsty Duncan	13665	10357	-3308
BC	Vancouver Centre	Hedy Fry	18260	15323	-2937
QC	Honoré-Mercier	Paulina Ayala	17545	14641	-2904
ON	Kingston and the Islands	Ted Hsu	23842	21189	-2653
ON	York South--Weston	Mike Sullivan	14122	11542	-2580
BC	New Westminster--Coquitlam	Fin Donnelly	23023	20776	-2247
NT	Western Arctic	Dennis Bevington	7140	5001	-2139
BC	Vancouver Quadra	Joyce Murray	22903	20984	-1919
QC	Ahuntsic	Maria Mourani	14908	13087	-1821
QC	Pierrefonds--Dollard	Lysane Blanchette-Lamothe	16390	14632	-1758
ON	Markham--Unionville	John McCallum	19429	17734	-1695
BC	Surrey North	Jasbir Sandhu	14678	13181	-1497
