Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	EDPOLL_KEY	Poll Number padded	MMP PCT
13	1		153	67	0	2	0	222	463	West Carleton Community Complex	13-001	1	30.1801801802
13	2		108	48	1	0	2	159	326	Constance/Buckham's Bay Community Centre	13-002	2	30.1886792453
13	3		125	55	0	4	0	184	398	Constance/Buckham's Bay Community Centre	13-003	3	29.8913043478
13	4		92	29	0	2	1	124	313	Constance/Buckham's Bay Community Centre	13-004	4	23.3870967742
13	5		113	55	2	2	0	172	405	Constance/Buckham's Bay Community Centre	13-005	5	31.976744186
13	6		109	28	0	2	0	139	266	Fitzroy Harbour Community Centre	13-006	6	20.1438848921
13	7		128	48	0	2	1	179	382	West Carleton Community Complex	13-007	7	26.8156424581
13	8		132	58	1	2	0	193	402	Constance/Buckham's Bay Community Centre	13-008	8	30.0518134715
13	9		150	58	1	1	0	210	444	West Carleton Secondary School	13-009	9	27.619047619
13	10		66	23	0	0	0	89	165	Fitzroy Harbour Community Centre	13-010	10	25.8426966292
13	11		92	36	0	3	0	131	329	West Carleton Community Complex	13-011	11	27.4809160305
13	12		163	49	1	1	0	214	438	West Carleton Secondary School	13-012	12	22.8971962617
13	13		152	65	0	1	0	218	412	West Carleton Secondary School	13-013	13	29.8165137615
13	14		132	57	1	4	0	194	388	Fitzroy Harbour Community Centre	13-014	14	29.381443299
13	15		144	33	0	0	0	177	391	West Carleton Secondary School	13-015	15	18.6440677966
13	16		151	63	0	4	0	218	360	Galetta Community Centre	13-016	16	28.8990825688
13	17		100	39	0	0	0	139	248	West Carleton Secondary School	13-017	17	28.0575539568
13	18		126	44	0	1	0	171	400	West Carleton Secondary School	13-018	18	25.730994152
13	19		137	50	1	1	0	189	369	Kinburn Community Centre	13-019	19	26.455026455
13	20		130	60	0	3	0	193	335	West Carleton Secondary School	13-020	20	31.0880829016
13	21		137	33	1	1	0	172	321	Galetta Community Centre	13-021	21	19.1860465116
13	22		180	68	0	4	0	252	490	Kinburn Community Centre	13-022	22	26.9841269841
13	23		134	58	0	2	0	194	363	Parish of St. Isidore	13-023	23	29.8969072165
13	24		149	65	1	3	0	218	442	Parish of St. Isidore	13-024	24	29.8165137615
13	25		187	57	0	0	1	245	380	Carp Agricultural Hall	13-025	25	23.2653061224
13	26		65	58	0	1	0	124	270	Carp Agricultural Hall	13-026	26	46.7741935484
13	27		107	34	2	3	1	147	286	Parish of St. Isidore	13-027	27	23.1292517007
13	28		75	53	1	1	0	130	365	Parish of St. Isidore	13-028	28	40.7692307692
13	29		87	59	1	1	0	148	434	École élémentaire publique de Kanata	13-029	29	39.8648648649
13	30		80	61	0	1	0	142	377	École élémentaire publique de Kanata	13-030	30	42.9577464789
13	31		68	46	0	0	1	115	281	Parish of St. Isidore	13-031	31	40
13	32		81	63	0	2	0	146	373	Parish of St. Isidore	13-032	32	43.1506849315
13	33		54	56	0	0	0	110	340	Royal Canadian Legion - Branch 638	13-033	33	50.9090909091
13	34		96	66	0	3	0	165	389	École élémentaire publique de Kanata	13-034	34	40
13	35		116	77	0	3	0	196	418	Royal Canadian Legion - Branch 638	13-035	35	39.2857142857
13	36		117	41	0	1	0	159	367	Parish of St. Isidore	13-036	36	25.786163522
13	37		107	70	1	2	1	181	402	Fellowship Baptist Church	13-037	37	38.6740331492
13	038s		46	12	1	7	0	66	93	Chartwell Kanata Retirement Residence	#VALUE!	#VALUE!	18.1818181818
13	39		82	58	0	2	0	142	357	Fellowship Baptist Church	13-039	39	40.8450704225
13	40		93	50	0	2	0	145	365	Fellowship Baptist Church	13-040	40	34.4827586207
13	41		179	42	1	3	0	225	480	Stewart Community Centre	13-041	41	18.6666666667
13	042A		126	31	0	4	0	161	313	Kinburn Community Centre	#VALUE!	#VALUE!	19.2546583851
13	042B		98	37	0	1	0	136	290	Kinburn Community Centre	#VALUE!	#VALUE!	27.2058823529
13	043A		101	45	1	1	0	148	289	Kinburn Community Centre	#VALUE!	#VALUE!	30.4054054054
13	043B		86	40	0	1	0	127	276	Kinburn Community Centre	#VALUE!	#VALUE!	31.4960629921
13	044s		13	7	1	1	1	23	27	West Carleton Retirement Home	#VALUE!	#VALUE!	30.4347826087
13	45		178	61	0	3	0	242	462	Carp Agricultural Hall	13-045	45	25.2066115702
13	46		70	25	0	1	0	96	181	Carp Agricultural Hall	13-046	46	26.0416666667
13	47		160	79	3	1	0	243	467	Carp Agricultural Hall	13-047	47	32.5102880658
13	48		109	50	0	0	0	159	317	Carp Agricultural Hall	13-048	48	31.4465408805
13	49		158	89	0	0	0	247	519	École élémentaire publique de Kanata	13-049	49	36.032388664
13	50		134	68	0	2	0	204	427	Royal Canadian Legion - Branch 638	13-050	50	33.3333333333
13	51		128	63	0	4	1	196	457	Royal Canadian Legion - Branch 638	13-051	51	32.1428571429
13	52		178	92	1	0	0	271	506	W. Erskine Johnston Public School	13-052	52	33.9483394834
13	53		102	85	0	4	0	191	406	W. Erskine Johnston Public School	13-053	53	44.502617801
13	54		56	35	0	1	0	92	197	Royal Canadian Legion - Branch 638	13-054	54	38.0434782609
13	55		174	7	0	2	80	263	438	Georges Vanier Catholic School	13-055	55	2.6615969582
13	56		197	75	0	0	0	272	419	W. Erskine Johnston Public School	13-056	56	27.5735294118
13	57		95	68	0	0	0	163	416	Georges Vanier Catholic School	13-057	57	41.717791411
13	58		168	95	0	2	0	265	386	Stephen Leacock Public School	13-058	58	35.8490566038
13	59		69	30	0	0	0	99	219	Georges Vanier Catholic School	13-059	59	30.303030303
13	60		6	2	0	0	0	8	11	Earl of March Secondary School	13-060	60	25
13	61		57	41	0	0	0	98	330	Earl of March Secondary School	13-061	61	41.8367346939
13	62		109	53	1	0	1	164	328	Earl of March Secondary School	13-062	62	32.3170731707
13	63		183	80	0	1	0	264	404	Earl of March Secondary School	13-063	63	30.303030303
13	64		68	16	0	2	1	87	162	Stewart Community Centre	13-064	64	18.3908045977
13	065s		10	3	0	0	3	16	18	Country View Lodge	#VALUE!	#VALUE!	18.75
13	66		141	38	0	3	0	182	334	Carp Agricultural Hall	13-066	66	20.8791208791
13	67		105	21	0	1	1	128	246	All Saints High School	13-067	67	16.40625
13	68		94	55	0	2	0	151	372	All Saints High School	13-068	68	36.4238410596
13	69		132	61	1	3	0	197	416	All Saints High School	13-069	69	30.9644670051
13	70		113	54	0	3	0	170	362	All Saints High School	13-070	70	31.7647058824
13	071s		20	7	0	1	0	28	57	Walden Village Retirement Residence	#VALUE!	#VALUE!	25
13	72		119	52	2	1	0	174	356	All Saints High School	13-072	72	29.8850574713
13	73		103	50	0	1	0	154	359	All Saints High School	13-073	73	32.4675324675
13	74		83	64	0	1	1	149	357	All Saints High School	13-074	74	42.9530201342
13	75		113	71	2	1	0	187	376	All Saints High School	13-075	75	37.9679144385
13	76		91	51	0	0	0	142	360	Kanata Wesleyan Methodist Church	13-076	76	35.9154929577
13	77		128	48	1	0	0	177	352	All Saints High School	13-077	77	27.1186440678
13	78		154	66	1	2	0	223	447	W. Erskine Johnston Public School	13-078	78	29.5964125561
13	79		107	45	0	2	0	154	355	All Saints High School	13-079	79	29.2207792208
13	80		144	66	0	2	0	212	463	Stephen Leacock Public School	13-080	80	31.1320754717
13	81		102	28	0	1	0	131	340	Kanata Wesleyan Methodist Church	13-081	81	21.3740458015
13	082s		26	1	0	1	0	28	60	Forest Hill Estates	#VALUE!	#VALUE!	3.5714285714
13	83		167	109	0	2	1	279	539	Stephen Leacock Public School	13-083	83	39.0681003584
13	084s		30	9	1	1	2	43	93	Empress Kanata Retirement Residence	#VALUE!	#VALUE!	20.9302325581
13	85		151	51	1	1	0	204	419	Stephen Leacock Public School	13-085	85	25
13	86		71	80	1	1	0	153	397	Earl of March Secondary School	13-086	86	52.2875816993
13	87		127	70	0	0	0	197	380	Holy Trinity Catholic High School	13-087	87	35.5329949239
13	088s		26	11	0	5	1	43	107	Garden Terrace	#VALUE!	#VALUE!	25.5813953488
13	89		169	75	1	2	0	247	427	Stephen Leacock Public School	13-089	89	30.3643724696
13	90		101	52	0	1	0	154	362	Holy Trinity Catholic High School	13-090	90	33.7662337662
13	91		78	44	0	0	0	122	298	Holy Trinity Catholic High School	13-091	91	36.0655737705
13	92		97	54	0	0	0	151	323	Holy Trinity Catholic High School	13-092	92	35.761589404
13	93		92	67	1	2	0	162	366	Earl of March Secondary School	13-093	93	41.3580246914
13	94		104	62	0	1	0	167	349	Earl of March Secondary School	13-094	94	37.125748503
13	95		163	101	0	1	0	265	483	Katimavik Elementary School	13-095	95	38.1132075472
13	96		95	56	3	0	0	154	379	Earl of March Secondary School	13-096	96	36.3636363636
13	97		160	77	2	0	0	239	439	Katimavik Elementary School	13-097	97	32.2175732218
13	98		83	55	2	1	0	141	393	École élémentaire catholique Roger-Saint-Denis	13-098	98	39.0070921986
13	99		124	70	0	2	0	196	383	Katimavik Elementary School	13-099	99	35.7142857143
13	100		122	60	0	1	0	183	387	Katimavik Elementary School	13-100	100	32.7868852459
13	101		108	62	0	1	0	171	368	École élémentaire catholique Roger-Saint-Denis	13-101	101	36.2573099415
13	102		163	72	0	0	0	235	450	Katimavik Elementary School	13-102	102	30.6382978723
13	103		76	38	0	0	0	114	291	Kanata Baptist Church	13-103	103	33.3333333333
13	104		99	47	0	5	0	151	312	École élémentaire catholique Roger-Saint-Denis	13-104	104	31.1258278146
13	105		97	35	1	2	1	136	364	École élémentaire catholique Roger-Saint-Denis	13-105	105	25.7352941176
13	106		175	73	0	1	2	251	481	St. Michael's Catholic Elementary School	13-106	106	29.0836653386
13	107		122	50	0	2	0	174	376	All Saints High School	13-107	107	28.7356321839
13	108		118	68	1	0	0	187	424	Kanata Wesleyan Methodist Church	13-108	108	36.3636363636
