Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	AHMED (SN)	BOYDEN (COM)	FERNANDEZ (IND)	GONZÁLEZ (NDPo)	GREEN (LIB)	LEROUX (IND)	MCLEAN (GPO)	SMITHERMAN (LPO)	TAYLOR (PCO)	% LPO	% MMP	.4LPO*0.6MMP	Location of voting placed
94	81		22	51	0	0	2	75	198	Winchester Junior and Senior Public School	1	0	1	20	0	0	7	40	3	55.56%	68.00%	63.02%	Winchester Junior and Senior Public School
94	119		12	34	0	0	0	46	149	Regent Park South Community Centre	0	1	0	13	0	1	7	20	4	43.48%	73.91%	61.74%	Regent Park South Community Centre
94	520		31	48	0	0	0	79	182	Ryerson University International Learning Centre	0	0	0	23	1	0	5	46	4	58.23%	60.76%	59.75%	Ryerson University International Learning Centre
94	90		21	50	0	2	2	75	230	Parliament Street Public Library	0	0	0	19	1	0	11	37	7	49.33%	66.67%	59.73%	Parliament Street Public Library
94	94		58	79	1	11	0	149	393	Sprucecourt Junior Public School	1	1	1	32	4	2	2	104	2	69.80%	53.02%	59.73%	Sprucecourt Junior Public School
94	555		55	87	0	3	0	145	258	285 Mutual Street - Radio City	0	0	0	29	0	0	20	85	11	58.62%	60.00%	59.45%	285 Mutual Street - Radio City
94	107		27	52	0	3	0	82	175	Dixon Hall	0	2	2	19	5	0	3	43	8	52.44%	63.41%	59.02%	Dixon Hall
94	470		56	102	1	4	0	163	266	550 Ontario Street- Hugh Garner Co-operative	2	1	0	40	1	0	20	86	11	53.42%	62.58%	58.91%	550 Ontario Street- Hugh Garner Co-operative
94	537		44	85	0	0	0	129	185	80 Mill Street	0	0	0	34	3	0	12	62	18	48.06%	65.89%	58.76%	80 Mill Street
94	69		33	69	1	1	0	104	250	Our Lady of Lourdes Catholic School	1	0	0	40	2	0	11	48	2	46.15%	66.35%	58.27%	Our Lady of Lourdes Catholic School
94	83		54	89	0	3	0	146	277	Sprucecourt Junior Public School	0	1	1	27	2	0	27	78	9	53.79%	60.96%	58.09%	Sprucecourt Junior Public School
