Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	AHMED (SN)	BOYDEN (COM)	FERNANDEZ (IND)	GONZÁLEZ (NDPo)	GREEN (LIB)	LEROUX (IND)	MCLEAN (GPO)	SMITHERMAN (LPO)	TAYLOR (PCO)	% LPO	% MMP	.4LPO*0.6MMP	% votes wasted	% participation	Location of voting placed
94	001		135	79	0	2	0	216	378	Our Lady of Perpetual Help Church	0	0	0	11	0	1	23	93	87	0.4326	0.3657	0.3925	0.5674	57.14%	Our Lady of Perpetual Help Church
94	002		145	72	0	0	0	217	379	Our Lady of Perpetual Help Church	0	0	0	13	1	0	17	94	90	0.4372	0.3318	0.3740	0.5628	57.26%	Our Lady of Perpetual Help Church
94	003		143	68	0	0	0	211	364	Our Lady of Perpetual Help School	1	1	0	6	1	0	25	66	111	0.3128	0.3223	0.3185	0.6872	57.97%	Our Lady of Perpetual Help School
94	004		130	51	1	1	0	183	322	Rosedale United Church	0	0	0	4	2	1	26	64	85	0.3516	0.2787	0.3079	0.6484	56.83%	Rosedale United Church
94	005		139	114	0	2	1	256	427	Our Lady of Perpetual Help Church	0	0	0	19	1	0	30	94	111	0.3686	0.4453	0.4146	0.6314	59.95%	Our Lady of Perpetual Help Church
94	006		137	77	0	0	3	217	361	Our Lady of Perpetual Help School	0	2	0	7	3	0	29	89	86	0.4120	0.3548	0.3777	0.5880	60.11%	Our Lady of Perpetual Help School
94	007		124	59	0	0	2	185	371	Our Lady of Perpetual Help Church	0	0	0	11	1	0	10	64	99	0.3459	0.3189	0.3297	0.6541	49.87%	Our Lady of Perpetual Help Church
94	008		155	69	0	2	0	226	367	Our Lady of Perpetual Help School	0	0	0	9	1	0	18	91	105	0.4063	0.3053	0.3457	0.5938	61.58%	Our Lady of Perpetual Help School
94	009		102	74	0	1	0	177	328	Rosedale United Church	0	0	0	10	1	0	25	83	58	0.4689	0.4181	0.4384	0.5311	53.96%	Rosedale United Church
94	010		182	63	1	1	0	247	404	Our Lady of Perpetual Help School	0	0	0	1	1	0	19	90	135	0.3659	0.2551	0.2994	0.6341	61.14%	Our Lady of Perpetual Help School
