Riding,Candidate,Party
Ajax—Pickering,Joe Dickson,Ontario Liberal Party
Ajax—Pickering,Jermaine King,New Democratic Party of Ontario
Ajax—Pickering,Todd McCarthy,Progressive Conservative Party of Ontario
Ajax—Pickering,Adam Narraway,Green Party of Ontario
Ajax—Pickering,Kyle Stewart,Ontario Libertarian Party
Algoma—Manitoulin,Richard Hadidian,Ontario Libertarian Party
Algoma—Manitoulin,Craig Hughson,Ontario Liberal Party
Algoma—Manitoulin,Michael Mantha,New Democratic Party of Ontario
Algoma—Manitoulin,Jib Turner,Progressive Conservative Party of Ontario
Algoma—Manitoulin,Alexandra Zalucky,Green Party of Ontario
Ancaster—Dundas—Flamborough—Westdale,Raymond Dartsch,Green Party of Ontario
Ancaster—Dundas—Flamborough—Westdale,Alex Johnstone,New Democratic Party of Ontario
Ancaster—Dundas—Flamborough—Westdale,Glenn Langton,Ontario Libertarian Party
Ancaster—Dundas—Flamborough—Westdale,Ted McMeekin,Ontario Liberal Party
Ancaster—Dundas—Flamborough—Westdale,Donna Skelly,Progressive Conservative Party of Ontario
Ancaster—Dundas—Flamborough—Westdale,Barry Spruce,Freedom Party of Ontario
Barrie,David Bradbury,New Democratic Party of Ontario
Barrie,Ann Hoggarth,Ontario Liberal Party
Barrie,Rod Jackson,Progressive Conservative Party of Ontario
Barrie,Bonnie North,Green Party of Ontario
Barrie,Darren Roskam,Ontario Libertarian Party
Beaches—East York,Nicolas Johnson,Progressive Conservative Party of Ontario
Beaches—East York,Alex Lindsay,Ontario Libertarian Party
Beaches—East York,Naomi Poley-Fisher,Freedom Party of Ontario
Beaches—East York,Arthur Potts,Ontario Liberal Party
Beaches—East York,Michael Prue,New Democratic Party of Ontario
Beaches—East York,Debra Scott,Green Party of Ontario
Bramalea—Gore—Malton,Harjit Jaswal,Progressive Conservative Party of Ontario
Bramalea—Gore—Malton,Kuldip Kular,Ontario Liberal Party
Bramalea—Gore—Malton,Jagmeet Singh,New Democratic Party of Ontario
Bramalea—Gore—Malton,Pauline Thornham,Green Party of Ontario
Brampton—Springdale,Gurpreet Dhillon,New Democratic Party of Ontario
Brampton—Springdale,Elizabeth Hill,Communist Party of Canada (Ontario)
Brampton—Springdale,Pam Hundal,Progressive Conservative Party of Ontario
Brampton—Springdale,Harinder Malhi,Ontario Liberal Party
Brampton—Springdale,Laila Zarrabi Yan,Green Party of Ontario
Brampton West,Luis Chacin,Ontario Libertarian Party
Brampton West,Vic Dhillon,Ontario Liberal Party
Brampton West,Sayyeda Ebrahim,Green Party of Ontario
Brampton West,Ted Harlson,Freedom Party of Ontario
Brampton West,Gugni Gill Panaich,New Democratic Party of Ontario
Brampton West,Randeep Sandhu,Progressive Conservative Party of Ontario
Brampton West,Dan Sullivan,Family Coalition Party of Ontario
Brant,Ken Burns,Green Party of Ontario
Brant,Alex Felsky,New Democratic Party of Ontario
Brant,Rob Ferguson,Ontario Libertarian Party
Brant,Phil Gillies,Progressive Conservative Party of Ontario
Brant,Dave Levac,Ontario Liberal Party
Brant,Brittni Mitchell,Freedom Party of Ontario
Brant,John Turmel,Pauper Party of Ontario
Bruce—Grey—Owen Sound,Ellen Anderson,Ontario Liberal Party
Bruce—Grey—Owen Sound,Karen Gventer,New Democratic Party of Ontario
Bruce—Grey—Owen Sound,Jenny Parsons,Green Party of Ontario
Bruce—Grey—Owen Sound,Jamie D. Spence,Freedom Party of Ontario
Bruce—Grey—Owen Sound,Caleb Voskamp,Ontario Libertarian Party
Bruce—Grey—Owen Sound,Bill Walker,Progressive Conservative Party of Ontario
Burlington,Andrew Brannan,Freedom Party of Ontario
Burlington,Meredith Cross,Green Party of Ontario
Burlington,Jane McKenna,Progressive Conservative Party of Ontario
Burlington,Eleanor McMahon,Ontario Liberal Party
Burlington,Jan Mowbray,New Democratic Party of Ontario
Burlington,Charles Zach,Ontario Libertarian Party
Cambridge,Temara Brown,Green Party of Ontario
Cambridge,Allan R. Dettweiler,Ontario Libertarian Party
Cambridge,Rob Leone,Progressive Conservative Party of Ontario
Cambridge,Kathryn McGarry,Ontario Liberal Party
Cambridge,Bobbi Stewart,New Democratic Party of Ontario
Carleton—Mississippi Mills,John Hansen,New Democratic Party of Ontario
Carleton—Mississippi Mills,Jack MacLaren,Progressive Conservative Party of Ontario
Carleton—Mississippi Mills,Rosalyn Stevens,Ontario Liberal Party
Carleton—Mississippi Mills,Andrew West,Green Party of Ontario
Chatham—Kent—Essex,Ken Bell,Green Party of Ontario
Chatham—Kent—Essex,Dan Gelinas,New Democratic Party of Ontario
Chatham—Kent—Essex,Terry Johnson,Ontario Liberal Party
Chatham—Kent—Essex,Douglas McLarty,Ontario Libertarian Party
Chatham—Kent—Essex,Rick Nicholls,Progressive Conservative Party of Ontario
Davenport,Mariam Ahmad,Communist Party of Canada (Ontario)
Davenport,Franz Cauchi,Freedom Party of Ontario
Davenport,Lan Daniel,Progressive Conservative Party of Ontario
Davenport,Cristina Martins,Ontario Liberal Party
Davenport,Jonah Schein,New Democratic Party of Ontario
Davenport,Daniel Stein,Green Party of Ontario
Davenport,Nunzio Venuto,Ontario Libertarian Party
Davenport,Troy Young,The People's Political Party
Don Valley-East,Michael Coteau,Ontario Liberal Party
Don Valley-East,Angela Kennedy,Progressive Conservative Party of Ontario
Don Valley-East,Christopher McLeod,Green Party of Ontario
Don Valley-East,Akil Sadikali,New Democratic Party of Ontario
Don Valley-East,Wayne Simmons,Freedom Party of Ontario
Don Valley-West,Khalid Ahmed,New Democratic Party of Ontario
Don Valley-West,Patrick Boyd,Ontario Libertarian Party
Don Valley-West,Brock Burrows,Independent
Don Valley-West,Tracy Curley,Freedom Party of Ontario
Don Valley-West,Louis Fliss,Green Party of Ontario
Don Valley-West,Dimitrios Kabitsis,Communist Party of Canada (Ontario)
Don Valley-West,David Porter,Progressive Conservative Party of Ontario
Don Valley-West,Rosemary Waigh,Vegan Environmental Party
Don Valley-West,Kathleen Wynne,Ontario Liberal Party
Dufferin—Caledon,Bobbie Daid,Ontario Liberal Party
Dufferin—Caledon,Sylvia Jones,Progressive Conservative Party of Ontario
Dufferin—Caledon,Daniel Kowalewski,Ontario Libertarian Party
Dufferin—Caledon,Karren Wallace,Green Party of Ontario
Dufferin—Caledon,Rehya Yazbek,New Democratic Party of Ontario
Durham,Granville Anderson,Ontario Liberal Party
Durham,Mike Patrick,Progressive Conservative Party of Ontario
Durham,Derek Spence,New Democratic Party of Ontario
Durham,Conner Toye,Ontario Libertarian Party
Durham,Halyna Zalucky,Green Party of Ontario
