Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place					
1	1		130	50	0	2	0	182	324	Claremont Community Centre					VRAI
1	2		130	104	0	2	0	236	443	Claremont Community Centre					VRAI
1	3		80	32	2	0	0	114	267	Claremont Community Centre					VRAI
1	4		133	60	0	1	0	194	373	Claremont Community Centre					VRAI
1	5		111	63	1	4	0	179	343	Valley View Public School					VRAI
1	7		74	54	0	3	0	131	302	Claremont Community Centre					VRAI
1	8		67	32	0	0	0	99	198	Valley View Public School					VRAI
1	9		149	60	0	4	1	214	430	Valley View Public School					VRAI
1	11		99	82	1	0	3	185	489	Notre Dame Catholic Secondary School					VRAI
1	12		50	33	0	4	2	89	233	Notre Dame Catholic Secondary School					VRAI
1	14		109	61	2	5	0	177	500	J. Clarke Richardson Collegiate					VRAI
1	15		100	87	1	1	0	189	558	J. Clarke Richardson Collegiate					VRAI
1	16		56	45	0	3	0	104	292	J. Clarke Richardson Collegiate					VRAI
1	017A		66	46	0	2	1	115	329	Notre Dame Catholic Secondary School					VRAI
1	017B		73	43	0	3	0	119	344	Notre Dame Catholic Secondary School					VRAI
1	018A		89	59	0	1	3	152	357	Notre Dame Catholic Secondary School					VRAI
1	018B		66	57	2	5	0	130	347	Notre Dame Catholic Secondary School					VRAI
1	018C		110	69	0	9	0	188	426	Notre Dame Catholic Secondary School					VRAI
1	19		100	73	0	2	0	175	413	Notre Dame Catholic Secondary School					VRAI
1	20		104	75	0	8	0	187	463	J. Clarke Richardson Collegiate					VRAI
1	21		89	85	3	2	0	179	394	J. Clarke Richardson Collegiate					VRAI
1	22		70	35	1	4	2	112	344	J. Clarke Richardson Collegiate					VRAI
1	023A		51	34	0	4	0	89	291	J. Clarke Richardson Collegiate					VRAI
1	023B		65	50	1	6	0	122	287	J. Clarke Richardson Collegiate					VRAI
1	24		53	32	0	0	0	85	178	Herongate Barn Theatre					VRAI
1	25		33	29	1	0	0	63	173	St. Wilfrid Catholic School					VRAI
1	26		100	57	0	4	0	161	440	Alexander Graham Bell Public School					VRAI
1	27		46	32	0	1	1	80	242	Alexander Graham Bell Public School					VRAI
1	28		109	63	0	2	0	174	477	Notre Dame Catholic Secondary School					VRAI
1	29		102	65	0	1	0	168	470	Alexander Graham Bell Public School					VRAI
1	30		74	56	2	0	0	132	404	Notre Dame Catholic Secondary School					VRAI
1	31		81	53	0	5	0	139	395	Notre Dame Catholic Secondary School					VRAI
1	32		121	71	0	8	0	200	431	Lester B. Pearson Public School					VRAI
1	33		100	42	1	8	1	152	374	Notre Dame Catholic Secondary School					VRAI
1	034s		20	8	0	3	3	34	101	Winbourne Park Long Term Care Centre					VRAI
1	35		124	72	0	3	0	199	429	Lester B. Pearson Public School					VRAI
1	36		90	46	0	0	0	136	366	Notre Dame Catholic Secondary School					VRAI
1	37		63	64	2	7	0	136	379	Lester B. Pearson Public School					VRAI
1	38		92	74	0	4	0	170	397	J. Clarke Richardson Collegiate					VRAI
1	39		72	46	7	1	0	126	393	Lester B. Pearson Public School					VRAI
1	40		98	72	1	5	0	176	424	J. Clarke Richardson Collegiate					VRAI
1	41		124	62	1	0	0	187	446	Mother Teresa Catholic School					VRAI
1	42		130	82	0	5	0	217	495	Dr. Roberta Bondar Public School					VRAI
1	43		72	57	0	1	1	131	329	J. Clarke Richardson Collegiate					VRAI
1	44		83	56	0	0	0	139	346	Mother Teresa Catholic School					VRAI
1	45		87	57	0	3	0	147	329	Mother Teresa Catholic School					VRAI
1	46		84	57	1	2	0	144	384	Dr. Roberta Bondar Public School					VRAI
1	47		86	74	1	1	0	162	379	Mother Teresa Catholic School					VRAI
1	48		54	39	0	1	0	94	289	Cadarackque Public School					VRAI
1	49		111	71	0	5	1	188	476	Cadarackque Public School					VRAI
